,symbol,correlation,pvalue
1001,MAGEE1,1,0.002777778
1002,KIF18B,0.257142857,0.658333333
1003,CSF2RA,0.485714286,0.355555556
1004,ZNF514,0.485714286,0.355555556
1005,SLC9A6,1,0.002777778
1006,GYG2,0.485714286,0.355555556
1007,RAB8A,0.485714286,0.355555556
1008,PLPPR4,1,0.002777778
1009,RPL13P5,0.485714286,0.355555556
1010,WDR61,1,0.002777778
1011,MFSD5,0.485714286,0.355555556
1012,SERPINI1,1,0.002777778
1013,ZNF462,0.485714286,0.355555556
1014,AGO2,0.485714286,0.355555556
1015,BEX4,1,0.002777778
1016,CPSF1,0.485714286,0.355555556
1017,PDPN,0.485714286,0.355555556
1018,NR2F1-AS1,1,0.002777778
1019,TPM2,0.485714286,0.355555556
1020,EPS15,1,0.002777778
1021,GRAMD1A,0.485714286,0.355555556
1022,PLK2,1,0.002777778
1023,THOC7,1,0.002777778
1024,EMC1,1,0.002777778
1025,MFNG,0.485714286,0.355555556
1026,POU3F2,0.485714286,0.355555556
1027,EML6,1,0.002777778
1028,DDX10,1,0.002777778
1029,PRKD3,0.257142857,0.658333333
1030,NOL4,1,0.002777778
1031,ARMC3,0.257142857,0.658333333
1032,MPP1,1,0.002777778
1033,POLD1,0.257142857,0.658333333
1034,EID2,1,0.002777778
1035,EEF1E1,1,0.002777778
1036,SUCLA2,1,0.002777778
1037,LYL1,0.485714286,0.355555556
1038,ISY1,0.485714286,0.355555556
1039,COPG2IT1,1,0.002777778
1040,TTC19,1,0.002777778
1041,INIP,0.485714286,0.355555556
1042,KCNF1,1,0.002777778
1043,ACSF2,0.485714286,0.355555556
1044,CTSB,0.485714286,0.355555556
1045,RMDN1,0.485714286,0.355555556
